Title,Category,Best Paper
Truth Discovery against Strategic Sybil Attack in Crowdsourcing,Data Mining,FALSE
Ultrafast Local Outlier Detection from a Data Stream with Stationary Region Skipping,Data Mining,FALSE
Understanding Negative Sampling in Graph Representation Learning,Data Mining,FALSE
Unsupervised Differentiable Multi-aspect Network Embedding,Data Mining,FALSE
Unsupervised Paraphrasing via Deep Reinforcement Learning,Data Mining,FALSE
Vamsa: Automated Provenance Tracking in Data Science Scripts,Data Mining,FALSE
Voronoi Graph Traversal in High Dimensions with Applications to Topological Data Analysis and Piecewise Linear Interpolation,Data Mining,FALSE
Vulnerability vs. Reliability: Disentangled Adversarial Examples for Cross-Modal Learning,Data Mining,FALSE
WavingSketch: An Unbiased and Generic Sketch for Finding Top-k Items in Data Streams,Data Mining,FALSE
WeightGrad: Geo-Distributed Data Analysis Using Quantization for Faster Convergence and Better Accuracy,Data Mining,FALSE
xGAIL: Explainable Generative Adversarial Imitation Learning for Explainable Human Decision Analysis,Data Mining,FALSE
XGNN: Towards Model-Level Explanations of Graph Neural Networks,Data Mining,FALSE
Z-Miner: an efficient method for mining frequent arrangements of event intervals,Data Mining,FALSE
A Dual Heterogeneous Graph Attention Network to Improve Long-Tail Performance for Shop Search in E-Commerce,Data Mining,FALSE
A Request-level Guaranteed Delivery Advertising Planning: Forecasting and Allocation,Data Mining,FALSE
A Self-Evolving Mutually-Operative Recurrent Network-based Model for Online Tool Condition Monitoring in Delay Scenario,Data Mining,FALSE
"A Sleeping, Recovering Bandit Algorithm for Optimizing Recurring Notifications",Data Mining,FALSE
Acoustic Measures for Real-Time Voice Coaching,Data Mining,FALSE
Ads Allocation in Feed via Constrained Optimization,Data Mining,FALSE
"An Automatic Approach for Generating Rich, Linked Geo-Metadata from Historical Map Images",Data Mining,FALSE
An Empirical Analysis of Backward Compatibility in Machine Learning Systems,Data Mining,FALSE
Attention based multi-modal new product sales time-series forecasting,Data Mining,FALSE
Attribute-based Propensity for Unbiased Learning in Recommender Systems: Algorithm and Case Studies,Data Mining,FALSE
AutoFIS: Automatic Feature Interaction Selection in Factorization Models for Click-Through Rate Prediction,Data Mining,FALSE
AutoKnow: Self-Driving Knowledge Collection for Products of Thousands of Types,Data Mining,FALSE
Automatic Validation of Textual Attribute Values in ECommerce Catalog by Learning with Limited Labeled Data,Data Mining,FALSE
Balanced Order Batching with Task-Oriented Graph Clustering,Data Mining,FALSE
Bandit based Optimization of Multiple Objectives on a Music Streaming Platform,Data Mining,FALSE
Bootstrapping Complete The Look at Pinterest,Data Mining,FALSE
Building Continuous Integration Services for Machine Learning,Data Mining,FALSE
BusTr: predicting bus travel times from real-time traffic,Data Mining,FALSE
Calendar Graph Neural Networks for Modeling Time Structures in Spatiotemporal User Behaviors,Data Mining,FALSE
Cascade-LSTM: A Tree-Structured Neural Classifier for Detecting Misinformation Cascades,Data Mining,FALSE
Category-Specific CNN for Visual-aware CTR Prediction at JD.com,Data Mining,FALSE
Causal Meta-Mediation Analysis Inferring Dose-Response Function From Summary Statistics of Many Randomized Experiments,Data Mining,FALSE
Cellular Network Radio Propagation Modeling with Deep Convolutional Neural Networks,Data Mining,FALSE
Characterizing and Learning Representation on Customer Contact Journeys in Cellular Services,Data Mining,FALSE
City Metro Network Expansion with Reinforcement Learning,Data Mining,FALSE
CLARA: Confidence of Labels and Raters,Data Mining,FALSE
Climate Downscaling Using YNet: a Deep Convolutional Network with Skip Connections and Fusion,Data Mining,FALSE
Combo-Attention Network for Baidu Video Advertising,Data Mining,FALSE
CompactETA: A Fast Inference System for Travel Time Prediction,Data Mining,FALSE
Comprehensive Information Integration Modeling Framework for Video Titling,Data Mining,FALSE
ConSTGAT: Contextual Spatial-Temporal Graph Attention Network for Travel Time Estimation at Baidu Maps,Data Mining,FALSE
Contagious Chain Risk Rating for Networked-guarantee Loans,Data Mining,FALSE
Context-Aware Attentive Knowledge Tracing,Data Mining,FALSE
Controllable Multi-Interest Framework for Recommendation,Data Mining,FALSE
Cracking Tabular Presentation Diversity for Automatic Cross-Checking over Numerical Facts,Data Mining,FALSE
Cracking the Black Box: Distilling Deep Sports Analytics,Data Mining,FALSE
CrowdQuake: A Networked System of Low-Cost Sensors for Earthquake Detection via Deep Learning,Data Mining,FALSE
DATE: Dual Attentive Tree-aware Embedding for Customs Fraud Detection,Data Mining,FALSE
Debiasing Grid-based Product Search in E-commerce,Data Mining,FALSE
DeepTriage: Automated Transfer Assistance for Incidents in Cloud Services,Data Mining,FALSE
Delivery Scope: A New Way of Restaurant Retrieval For On-demand Food Delivery Service,Data Mining,FALSE
Doing in One Go: Delivered Time Inference Based on Coueriers' Trajectories,Data Mining,FALSE
Domain Specific Knowledge Graphs as a Service to the Public,Data Mining,FALSE
Dynamic Heterogeneous Graph Neural Network for Real-time Event Prediction,Data Mining,FALSE
Easy Perturbation EEG Algorithm for Spectral Importance (easyPEASI): A simple method to identify important spectral features of EEG in deep learning models,Data Mining,FALSE
Efficiently Solving the Practical Vehicle Routing Problem: A Novel Joint Learning Approach,Data Mining,FALSE
Embedding-based Retrieval in Facebook Search,Data Mining,FALSE
Explainable classification of brain networks via contrast subgraphs,Data Mining,FALSE
Faster Secure Data Mining via Distributed Homomorphic Encryption,Data Mining,FALSE
Federated Doubly Stochastic Kernel Learning for  Vertically Partitioned Data,Data Mining,FALSE
Fitbit for Chickens? Time Series Data Mining Can Increase the Productivity of Poultry Farms,Data Mining,FALSE
Forecasting the Evolution of Hydropower Generation,Data Mining,FALSE
Fraud Transactions Detection via Behavior Tree with Local Intention Calibration,Data Mining,FALSE
Game Action Modeling for Fine Grained Analyses of Player Behavior in Multi-player Card Games (Rummy as case study),Data Mining,FALSE
Gemini: A novel and universal heterogeneous graph information fusing framework for online recommendations,Data Mining,FALSE
General-Purpose User Embeddings based on Mobile App Usage,Data Mining,FALSE
Geodemographic Influence Maximization,Data Mining,FALSE
Grale: Designing Networks for Graph Learning,Data Mining,FALSE
GrokNet: Unified Computer Vision Model Trunk and Embeddings For Commerce,Data Mining,FALSE
HetETA: Heterogeneous Information Network Embedding for Estimating Time of Arrival,Data Mining,FALSE
Hubble: an Industrial System for Audience Expansion in Mobile Marketing,Data Mining,FALSE
Hybrid Spatio-Temporal Graph Convolutional Network: Improving Traffic Prediction with Navigation Data,Data Mining,FALSE
Hypergraph Convolutional Recurrent Neural Network,Data Mining,FALSE
Identifying Homeless Youth At-Risk of Substance Use Disorder: Data-Driven Insights for Policymakers,Data Mining,FALSE
Improving Deep Learning For Airbnb Search,Data Mining,FALSE
Improving Movement Predictions of Traffic Actors in Bird's-Eye View Models using GANs and Differentiable Trajectory Rasterizatio,Data Mining,FALSE
Improving Recommendation Quality in Google Drive,Data Mining,FALSE
Intelligent Exploration for User Interface Modules of Mobile App with Collective Learning,Data Mining,FALSE
Interleaved Sequence RNNs for Fraud Detection,Data Mining,FALSE
Jointly Learning to Recommend and Advertise,Data Mining,FALSE
"Knowing your FATE: Friendship, Action and Temporal Explanations for User Engagement Prediction on Social Apps",Data Mining,FALSE
Large-Scale Training System for 100-Million Classification at Alibaba,Data Mining,FALSE
Learning instrument invariant characteristics for generating high-resolution global coral reef maps,Data Mining,FALSE
Learning to Cluster Documents into Workspaces Using Large Scale Activity Logs,Data Mining,FALSE
Learning to Generate Personalized Query Auto-Completions via a Multi-View Multi-Task Attentive Approach,Data Mining,FALSE
Learning to score economic development from satellite imagery,Data Mining,FALSE
Learning with Limited Labels via Momentum Damped Differentially Weighted Training,Data Mining,FALSE
LRSpeech: Extremely Low-Resource Speech Synthesis and Recognition,Data Mining,FALSE
LUMOS: A library for diagnosing metric regressions for web-scale applications,Data Mining,FALSE
M2GRL: A Multi-task Multi-view Graph Representation Learning Framework for Web-scale Recommender Systems,Data Mining,FALSE
Managing Diversity in Airbnb Search,Data Mining,FALSE
Map Generation from Large Scale Incomplete and Inaccurate Data Labels,Data Mining,FALSE
Maximizing Cumulative User Engagement in Sequential Recommendation: An Online Optimization Perspective,Data Mining,FALSE
Meta-Learning for Query Conceptualization at Web Scale,Data Mining,FALSE
