Title,Category,Best Paper
Querying Attributed DL-Lite Ontologies Using Provenance Semirings,AI,False
Model-Based Diagnosis for Cyber-Physical Production Systems Based on Machine Learning and Residual-Based Diagnosis Models,AI,False
From Horn-SRIQ to Datalog: A Data-Independent Transformation That Preserves Assertion Entailment,AI,False
Identification of Causal Effects in the Presence of Selection Bias,AI,False
Argumentation for Explainable Scheduling,AI,False
Approximate Stream Reasoning with Metric Temporal Logic under Uncertainty,AI,False
ABox Abduction via Forgetting in ALC,AI,False
Qualitative Spatial Logic over 2D Euclidean Spaces Is Not Finitely Axiomatisable,AI,False
Validation of Growing Knowledge Graphs by Abductive Text Evidences,AI,False
On Structured Argumentation with Conditional Preferences,AI,False
Complexity of Abstract Argumentation under a Claim-Centric View,AI,False
Strong Equivalence for Epistemic Logic Programs Made Easy,AI,False
Disjunctive Normal Form for Multi-Agent Modal Logics Based on Logical Separability,AI,False
Counting Complexity for Reasoning in Abstract Argumentation,AI,False
A Sequential Set Generation Method for Predicting Set-Valued Outputs,AI,False
Forgetting in Modular Answer Set Programming,AI,False
Partial Awareness,AI,False
Modular Materialisation of Datalog Programs,AI,False
Bi-Kronecker Functional Decision Diagrams: A Novel Canonical Representation of Boolean Functions,AI,False
Minimum Intervention Cover of a Causal Graph,AI,False
Knowledge Refinement via Rule Selection,AI,False
LENA: Locality-Expanded Neural Embedding for Knowledge Base Completion,AI,False
Ontology-Based Query Answering for Probabilistic Temporal Data,AI,False
Combining Deep Learning and Qualitative Spatial Reasoning to Learn Complex Structures from Sparse Examples with Noise,AI,False
Representing and Learning Grammars in Answer Set Programming,AI,False
Multi-Context System for Optimization Problems,AI,False
Reasoning over Assumption-Based Argumentation Frameworks via Direct Answer Set Programming Encodings,AI,False
SAT-Based Explicit LTLf Satisfiability Checking,AI,False
Implanting Rational Knowledge into Distributed Representation at Morpheme Level,AI,False
Complexity of Inconsistency-Tolerant Query Answering in Datalog+/??under Cardinality-Based Repairs,AI,False
SDRL: Interpretable and Data-Efficient Deep Reinforcement Learning Leveraging Symbolic Planning,AI,False
Less but Better: Generalization Enhancement of Ordinal Embedding via Distributional Margin,AI,False
Group Decision Diagram (GDD): A Compact Representation for Permutations,AI,False
On Limited Conjunctions and Partial Features in Parameter-Tractable Feature Logics,AI,False
Declarative Question Answering over Knowledge Bases Containing Natural Language Text with Answer Set Programming,AI,False
Blameworthiness in Strategic Games,AI,False
Belief Change and Non-Monotonic Reasoning Sans Compactness,AI,False
ATOMIC: An Atlas of Machine Commonsense for If-Then Reasoning,AI,False
Efficient Concept Induction for Description Logics,AI,False
An Open-World Extension to Knowledge Graph Completion Models,AI,False
Induction of Non-Monotonic Logic Programs to Explain Boosted Tree Models Using LIME,AI,False
End-to-End Structure-Aware Convolutional Networks for Knowledge Base Completion,AI,False
Amalgamating Knowledge towards Comprehensive Classification,AI,False
Iterated Belief Base Revision: A Dynamic Epistemic Logic Approach,AI,False
Safe Partial Diagnosis from Normal Observations,AI,False
Reasoning over Streaming Data in Metric Temporal Datalog,AI,False
TransGate: Knowledge Graph Embedding with Shared Gate Structure,AI,False
Recursively Learning Causal Structures Using Regression-Based Conditional Independence Test,AI,False
Tracking Logical Difference in Large-Scale Ontologies: A Forgetting-Based Approach,AI,False
On Completing Sparse Knowledge Base with Transitive Relation Embedding,AI,False
State Abstraction as Compression in Apprenticeship Learning,AI,False
An Exponential Tail Bound for the Deleted Estimate,AI,False
Model Learning for Look-Ahead Exploration in Continuous Control,AI,False
Character-Level Language Modeling with Deeper Self-Attention,AI,False
Attacking Data Transforming Learners at Training Time,AI,False
Hyperprior Induced Unsupervised Disentanglement of Latent Representations,AI,False
Adversarial Label Learning,AI,False
Robust Negative Sampling for Network Embedding,AI,False
Random Feature Maps for the Itemset Kernel,AI,False
High Dimensional Clustering with r-nets,AI,False
Mode Variational LSTM Robust to Unseen Modes of Variation: Application to Facial Expression Recognition,AI,False
Enhanced Random Forest Algorithms for Partially Monotone Ordinal Classification,AI,False
Online Learning from Data Streams with Varying Feature Spaces,AI,False
CNN-Cert: An Efficient Framework for Certifying Robustness of Convolutional Neural Networks,AI,False
Deep Convolutional Sum-Product Networks,AI,False
